# Filename:			4.txt
# Last Editted by:		
# Last Editted on:		2012/12/01 19:53
W1528
H2480
T10000000

# DefinitionIDs for each kind of asset in the level.
D7,WA,money.png
A3,32,64
A3,32,96
A3,32,128
A3,32,160
A3,32,192
A3,32,224
A3,32,256
A3,32,288
A3,32,320
A3,32,352
A3,32,384
A3,32,416
A3,32,448
A3,32,480
A3,32,512
A3,32,544
A3,32,576
A3,32,608
A3,32,640
A3,32,672
A3,32,704
A3,32,736
A3,32,768
A3,32,800
A3,32,832
A3,32,864
A3,32,896
A3,32,928
A3,32,960
A3,32,992
A3,32,1024
A3,32,1056
A3,32,1088
A3,32,1120
A3,32,1152
A3,32,1184
A3,32,1216
A3,32,1248
A3,32,1280
A3,32,1312
A3,32,1344
A3,32,1376
A3,32,1408
A3,32,1440
A3,32,1472
A3,32,1504
A3,32,1536
A3,32,1568
A3,32,1600
A3,32,1632
A3,32,1664
A3,32,1696
A3,32,1728
A3,32,1760
A3,32,1792
A3,32,1824
A3,32,1856
A3,32,1888
A3,32,1920
A3,32,1952
A3,32,1984
A3,32,2016
A3,32,2048
A3,32,2080
A3,32,2112
A3,32,2144
A3,32,2176
A3,32,2208
A3,32,2240
A3,32,2272
A3,32,2304
A3,32,2336
A3,32,2368
A3,32,2400
A3,32,2432
A3,32,2464
A3,64,0
A3,64,32
A3,64,64
A3,64,96
A3,64,128
A3,64,160
A3,64,192
A3,64,224
A3,64,256
A3,64,288
A3,64,320
A3,64,352
A3,64,384
A3,64,416
A3,64,448
A3,64,480
A3,64,512
A3,64,544
A3,64,576
A3,64,608
A3,64,640
A3,64,672
A3,64,704
A3,64,736
A3,64,768
A3,64,800
A3,64,832
A3,64,864
A3,64,896
A3,64,928
A3,64,960
A3,64,992
A3,64,1024
A3,64,1056
A3,64,1088
A3,64,1120
A3,64,1152
A3,64,1184
A3,64,1216
A3,64,1248
A3,64,1280
A3,64,1312
A3,64,1344
A3,64,1376
A3,64,1408
A3,64,1440
A3,64,1472
A3,64,1504
A3,64,1536
A3,64,1568
A3,64,1600
A3,64,1632
A3,64,1664
A3,64,1696
A3,64,1728
A3,64,1760
A3,64,1792
A3,64,1824
A3,64,1856
A3,64,1888
A3,64,1920
A3,64,1952
A3,64,1984
A3,64,2016
A3,64,2048
A3,64,2080
A3,64,2112
A3,64,2144
A3,64,2176
A3,64,2208
A3,64,2240
A3,64,2272
A3,64,2304
A3,64,2336
A3,64,2368
A3,64,2400
A3,64,2432
A3,64,2464
A3,96,0
A3,96,32
A3,96,64
A3,96,96
A3,96,128
A3,96,160
A3,96,192
A3,96,224
A3,96,256
A3,96,288
A3,96,320
A3,96,352
A3,96,384
A3,96,416
A3,96,448
A3,96,480
A3,96,512
A3,96,544
A3,96,576
A3,96,608
A3,96,640
A3,96,672
A3,96,704
A3,96,736
A3,96,768
A3,96,800
A3,96,832
A3,96,864
A3,96,896
A3,96,928
A3,96,960
A3,96,992
A3,96,1024
A3,96,1056
A3,96,1088
A3,96,1120
A3,96,1152
A3,96,1184
A3,96,1216
A3,96,1248
A3,96,1280
A3,96,1312
A3,96,1344
A3,96,1376
A3,96,1408
A3,96,1440
A3,96,1472
A3,96,1504
A3,96,1536
A3,96,1568
A3,96,1600
A3,96,1632
A3,96,1664
A3,96,1696
A3,96,1728
A3,96,1760
A3,96,1792
A3,96,1824
A3,96,1856
A3,96,1888
A3,96,1920
A3,96,1952
A3,96,1984
A3,96,2016
A3,96,2048
A3,96,2080
A3,96,2112
A3,96,2144
A3,96,2176
A3,96,2208
A3,96,2240
A3,96,2272
A3,96,2304
A3,96,2336
A3,96,2368
A3,96,2400
A3,96,2432
A3,96,2464
A3,1408,2464
A3,1408,2432
A3,1408,2400
A3,1408,2368
A3,1408,2336
A3,1408,2304
A3,1408,2272
A3,1408,2240
A3,1408,2208
A3,1408,2176
A3,1408,2144
A3,1408,2112
A3,1408,2080
A3,1408,2048
A3,1408,2016
A3,1408,1984
A3,1408,1952
A3,1408,1920
A3,1408,1888
A3,1408,1856
A3,1408,1824
A3,1408,1792
A3,1408,1760
A3,1408,1728
A3,1408,1696
A3,1408,1664
A3,1408,1632
A3,1408,1600
A3,1408,1568
A3,1408,1536
A3,1408,1504
A3,1408,1472
A3,1408,1440
A3,1408,1408
A3,1408,1376
A3,1408,1344
A3,1408,1312
A3,1408,1280
A3,1408,1248
A3,1408,1216
A3,1408,1184
A3,1408,1152
A3,1408,1120
A3,1408,1088
A3,1408,1056
A3,1408,1024
A3,1408,992
A3,1408,960
A3,1408,928
A3,1408,896
A3,1408,864
A3,1408,832
A3,1408,800
A3,1408,768
A3,1408,736
A3,1408,704
A3,1408,672
A3,1408,640
A3,1408,608
A3,1408,576
A3,1408,544
A3,1408,512
A3,1408,480
A3,1408,448
A3,1408,416
A3,1408,384
A3,1408,352
A3,1408,320
A3,1408,288
A3,1408,256
A3,1408,224
A3,1408,192
A3,1408,160
A3,1408,128
A3,1408,96
A3,1408,64
A3,1408,32
A3,1440,2464
A3,1440,2432
A3,1440,2400
A3,1440,2368
A3,1440,2336
A3,1440,2304
A3,1440,2272
A3,1440,2240
A3,1440,2208
A3,1440,2176
A3,1440,2144
A3,1440,2112
A3,1440,2080
A3,1440,2048
A3,1440,2016
A3,1440,1984
A3,1440,1952
A3,1440,1920
A3,1440,1888
A3,1440,1856
A3,1440,1824
A3,1440,1792
A3,1440,1760
A3,1440,1728
A3,1440,1696
A3,1440,1664
A3,1440,1632
A3,1440,1600
A3,1440,1568
A3,1440,1536
A3,1440,1504
A3,1440,1472
A3,1440,1440
A3,1440,1408
A3,1440,1376
A3,1440,1344
A3,1440,1312
A3,1440,1280
A3,1440,1248
A3,1440,1216
A3,1440,1184
A3,1440,1152
A3,1440,1120
A3,1440,1088
A3,1440,1056
A3,1440,1024
A3,1440,992
A3,1440,960
A3,1440,928
A3,1440,896
A3,1440,864
A3,1440,832
A3,1440,800
A3,1440,768
A3,1440,736
A3,1440,704
A3,1440,672
A3,1440,640
A3,1440,608
A3,1440,576
A3,1440,544
A3,1440,512
A3,1440,480
A3,1440,448
A3,1440,416
A3,1440,384
A3,1440,352
A3,1440,320
A3,1440,288
A3,1440,256
A3,1440,224
A3,1440,192
A3,1440,160
A3,1440,128
A3,1440,96
A3,1440,64
A3,1440,32
A3,1472,2464
A3,1472,2432
A3,1472,2400
A3,1472,2368
A3,1472,2336
A3,1472,2304
A3,1472,2272
A3,1472,2240
A3,1472,2208
A3,1472,2176
A3,1472,2144
A3,1472,2112
A3,1472,2080
A3,1472,2048
A3,1472,2016
A3,1472,1984
A3,1472,1952
A3,1472,1920
A3,1472,1888
A3,1472,1856
A3,1472,1824
A3,1472,1792
A3,1472,1760
A3,1472,1728
A3,1472,1696
A3,1472,1664
A3,1472,1632
A3,1472,1600
A3,1472,1568
A3,1472,1536
A3,1472,1504
A3,1472,1472
A3,1472,1440
A3,1472,1408
A3,1472,1376
A3,1472,1344
A3,1472,1312
A3,1472,1280
A3,1472,1248
A3,1472,1216
A3,1472,1184
A3,1472,1152
A3,1472,1120
A3,1472,1088
A3,1472,1056
A3,1472,1024
A3,1472,992
A3,1472,960
A3,1472,928
A3,1472,896
A3,1472,864
A3,1472,832
A3,1472,800
A3,1472,768
A3,1472,736
A3,1472,704
A3,1472,672
A3,1472,640
A3,1472,608
A3,1472,576
A3,1472,544
A3,1472,512
A3,1472,480
A3,1472,448
A3,1472,416
A3,1472,384
A3,1472,352
A3,1472,320
A3,1472,288
A3,1472,256
A3,1472,224
A3,1472,192
A3,1472,160
A3,1472,128
A3,1472,96
A3,1472,64
A3,1472,32
A3,1504,2464
A3,1504,2432
A3,1504,2400
A3,1504,2368
A3,1504,2336
A3,1504,2304
A3,1504,2272
A3,1504,2240
A3,1504,2208
A3,1504,2176
A3,1504,2144
A3,1504,2112
A3,1504,2080
A3,1504,2048
A3,1504,2016
A3,1504,1984
A3,1504,1952
A3,1504,1920
A3,1504,1888
A3,1504,1856
A3,1504,1824
A3,1504,1792
A3,1504,1760
A3,1504,1728
A3,1504,1696
A3,1504,1664
A3,1504,1632
A3,1504,1600
A3,1504,1568
A3,1504,1536
A3,1504,1504
A3,1504,1472
A3,1504,1440
A3,1504,1408
A3,1504,1376
A3,1504,1344
A3,1504,1312
A3,1504,1280
A3,1504,1248
A3,1504,1216
A3,1504,1184
A3,1504,1152
A3,1504,1120
A3,1504,1088
A3,1504,1056
A3,1504,1024
A3,1504,992
A3,1504,960
A3,1504,928
A3,1504,896
A3,1504,864
A3,1504,832
A3,1504,800
A3,1504,768
A3,1504,736
A3,1504,704
A3,1504,672
A3,1504,640
A3,1504,608
A3,1504,576
A3,1504,544
A3,1504,512
A3,1504,480
A3,1504,448
A3,1504,416
A3,1504,384
A3,1504,352
A3,1504,320
A3,1504,288
A3,1504,256
A3,1504,224
A3,1504,192
A3,1504,160
A3,1504,128
A3,1504,96
A3,1504,64
A3,1504,32
A3,1408,0
A3,1440,0
A3,1472,0
A3,1504,0
A38,1328,1600
A38,1344,1600
A38,1056,48
A2,800,1056,D:DownRight
A2,800,896,D:UpRight
A27,800,928,D:UpRight
A27,800,960,D:UpRight
A27,800,992,D:UpRight
A27,800,1024,D:UpRight
A9,768,1024
A9,768,960
A9,704,960
A9,704,896
A9,768,896
A38,1296,2224
A38,416,2000
A38,400,2000
A12,640,672
A12,672,672
A12,704,672
A12,736,672
A12,768,672
A12,800,672
A12,384,2240
A12,416,2240
A12,448,2240
A12,480,2240
A12,512,2240
A12,544,2240
A12,576,2240
A12,608,2240
A12,640,2240
A9,384,2240
A9,384,1984
A9,1024,64
A9,640,640
A9,640,576
A9,640,512
A9,640,448
A9,640,384
A14,768,456
A9,832,320
A9,832,256
A9,832,192
A9,832,128
A9,832,64
A14,704,144
A9,832,0
